questions,answer,grouped_answers
"CUMIN, SUGAR, SWEETIE, PEGASUS, BIRD, HONEY, AIRPLANE, ANGEL, SCARY, POSH, GINGER, BOO, CARDAMOM, BABY, CLOVE, CORIANDER","[['CARDAMOM', 'CLOVE', 'CORIANDER', 'CUMIN'], ['BOO', 'HONEY', 'SUGAR', 'SWEETIE'], ['AIRPLANE', 'ANGEL', 'BIRD', 'PEGASUS'], ['BABY', 'GINGER', 'POSH', 'SCARY']]","SPICES BEGINNING WITH “C” - ['CARDAMOM', 'CLOVE', 'CORIANDER', 'CUMIN']
TERMS OF ENDEARMENT - ['BOO', 'HONEY', 'SUGAR', 'SWEETIE']
THINGS WITH WINGS - ['AIRPLANE', 'ANGEL', 'BIRD', 'PEGASUS']
SPICE GIRLS - ['BABY', 'GINGER', 'POSH', 'SCARY']"
"LUST, POD, SCHOOL, PACK, FLOCK, SEC, SIN, LORIS, TAN, SNAIL, SLOTH, TORTOISE, ENVY, COT, GREED, PRIDE","[['FLOCK', 'PACK', 'POD', 'SCHOOL'], ['ENVY', 'GREED', 'LUST', 'PRIDE'], ['LORIS', 'SLOTH', 'SNAIL', 'TORTOISE'], ['COT', 'SEC', 'SIN', 'TAN']]","ANIMAL GROUP NAMES - ['FLOCK', 'PACK', 'POD', 'SCHOOL']
DEADLY SINS - ['ENVY', 'GREED', 'LUST', 'PRIDE']
SLOW ANIMALS - ['LORIS', 'SLOTH', 'SNAIL', 'TORTOISE']
TRIG FUNCTIONS - ['COT', 'SEC', 'SIN', 'TAN']"
"GNOCCHI, GNOME, SPIRIT, DELTA, FRONTIER, GNAW, NU, CHI, IOTA, BETA, KNEW, UNITED, GNAT, NEW, GNU, VIRGIN","[['FRONTIER', 'SPIRIT', 'UNITED', 'VIRGIN'], ['BETA', 'CHI', 'DELTA', 'IOTA'], ['GNAT', 'GNAW', 'GNOCCHI', 'GNOME'], ['GNU', 'KNEW', 'NEW', 'NU']]","AIRLINES - ['FRONTIER', 'SPIRIT', 'UNITED', 'VIRGIN']
GREEK LETTERS - ['BETA', 'CHI', 'DELTA', 'IOTA']
SILENT “G” - ['GNAT', 'GNAW', 'GNOCCHI', 'GNOME']
HOMOPHONES - ['GNU', 'KNEW', 'NEW', 'NU']"
"MARIO, BUNK, SONIC, MARX, WARNER, LINK, CIVIC, PASSPORT, ACCORD, PILOT, JONAS, TRUNDLE, MURPHY, CANOPY, WRIGHT, CRASH","[['BUNK', 'CANOPY', 'MURPHY', 'TRUNDLE'], ['JONAS', 'MARX', 'WARNER', 'WRIGHT'], ['ACCORD', 'CIVIC', 'PASSPORT', 'PILOT'], ['CRASH', 'LINK', 'MARIO', 'SONIC']]","BEDS - ['BUNK', 'CANOPY', 'MURPHY', 'TRUNDLE']
FAMOUS BROTHERS - ['JONAS', 'MARX', 'WARNER', 'WRIGHT']
HONDAS - ['ACCORD', 'CIVIC', 'PASSPORT', 'PILOT']
VIDEO GAME CHARACTERS - ['CRASH', 'LINK', 'MARIO', 'SONIC']"
"CHIRP, CAW, CLUCK, TURQUOISE, BROWN, REEL, TWEET, PINK, JONES, SPARROW, LURE, TACKLE, HOOK, VIOLET, ROD, SILVER","[['CAW', 'CHIRP', 'CLUCK', 'TWEET'], ['BROWN', 'PINK', 'TURQUOISE', 'VIOLET'], ['LURE', 'REEL', 'ROD', 'TACKLE'], ['HOOK', 'JONES', 'SILVER', 'SPARROW']]","BIRD SOUNDS - ['CAW', 'CHIRP', 'CLUCK', 'TWEET']
COLORS - ['BROWN', 'PINK', 'TURQUOISE', 'VIOLET']
FISHING GEAR - ['LURE', 'REEL', 'ROD', 'TACKLE']
FICTIONAL PIRATES - ['HOOK', 'JONES', 'SILVER', 'SPARROW']"
"BEAN, FOX, FOREST, OLIVE, CASHEW, ALMOND, PECAN, EMERALD, CLEAN, PEANUT, KELLY, AMERICANO, WALNUT, ESPRESSO, LATTE, CAPPUCCINO","[['AMERICANO', 'CAPPUCCINO', 'ESPRESSO', 'LATTE'], ['ALMOND', 'CASHEW', 'PECAN', 'WALNUT'], ['EMERALD', 'FOREST', 'KELLY', 'OLIVE'], ['BEAN', 'CLEAN', 'FOX', 'PEANUT']]","COFFEE DRINKS - ['AMERICANO', 'CAPPUCCINO', 'ESPRESSO', 'LATTE']
TREE NUTS - ['ALMOND', 'CASHEW', 'PECAN', 'WALNUT']
SHADES OF GREEN - ['EMERALD', 'FOREST', 'KELLY', 'OLIVE']
MR. ___ - ['BEAN', 'CLEAN', 'FOX', 'PEANUT']"
"STARBOARD, TIE, PORT, LOVE, ALL, BOLO, TIDE, RIGHT, BOW, ASCOT, ACUTE, BERMUDA, SCARF, GAIN, ERA, STERN","[['ASCOT', 'BOLO', 'SCARF', 'TIE'], ['BOW', 'PORT', 'STARBOARD', 'STERN'], ['ALL', 'ERA', 'GAIN', 'TIDE'], ['ACUTE', 'BERMUDA', 'LOVE', 'RIGHT']]","NECKWEAR - ['ASCOT', 'BOLO', 'SCARF', 'TIE']
SHIP DIRECTIONS - ['BOW', 'PORT', 'STARBOARD', 'STERN']
DETERGENTS - ['ALL', 'ERA', 'GAIN', 'TIDE']
___ TRIANGLE - ['ACUTE', 'BERMUDA', 'LOVE', 'RIGHT']"
"COMMANDER, TROPHY, BEAR, HOWSER, HOUSE, QUINN, PEC, LAT, CUP, TRI, BILL, QUAD, MEDAL, RIBBON, GREY, BROWN","[['LAT', 'PEC', 'QUAD', 'TRI'], ['CUP', 'MEDAL', 'RIBBON', 'TROPHY'], ['GREY', 'HOUSE', 'HOWSER', 'QUINN'], ['BEAR', 'BILL', 'BROWN', 'COMMANDER']]","MUSCLES, INFORMALLY - ['LAT', 'PEC', 'QUAD', 'TRI']
AWARDS - ['CUP', 'MEDAL', 'RIBBON', 'TROPHY']
TITLE TV DOCTORS - ['GREY', 'HOUSE', 'HOWSER', 'QUINN']
NFL PLAYERS - ['BEAR', 'BILL', 'BROWN', 'COMMANDER']"
"ROW, EGGSHELL, CRUCIFIX, QUARREL, GARLIC, POULTRY, CREAM, IVORY, PORK, BEEF, VENISON, MIRROR, SPAT, TIFF, STAKE, VANILLA","[['CREAM', 'EGGSHELL', 'IVORY', 'VANILLA'], ['CRUCIFIX', 'GARLIC', 'MIRROR', 'STAKE'], ['BEEF', 'PORK', 'POULTRY', 'VENISON'], ['ROW', 'QUARREL', 'SPAT', 'TIFF']]","OFF-WHITE SHADES - ['CREAM', 'EGGSHELL', 'IVORY', 'VANILLA']
ANTI-VAMPIRE - ['CRUCIFIX', 'GARLIC', 'MIRROR', 'STAKE']
KINDS OF MEAT - ['BEEF', 'PORK', 'POULTRY', 'VENISON']
SYNONYMS FOR ARGUMENT - ['ROW', 'QUARREL', 'SPAT', 'TIFF']"
"BROWN, PRINCE, STONE, BARLEY, EARL, BARON, HOWARD, LEE, SPELT, DUKE, RYE, OAT, FORD, BONG, KING, RICE","[['BARLEY', 'OAT', 'RYE', 'SPELT'], ['BARON', 'EARL', 'KING', 'PRINCE'], ['BROWN', 'DUKE', 'HOWARD', 'RICE'], ['BONG', 'FORD', 'LEE', 'STONE']]","GRAINS - ['BARLEY', 'OAT', 'RYE', 'SPELT']
ROYAL TITLES - ['BARON', 'EARL', 'KING', 'PRINCE']
UNIVERSITIES - ['BROWN', 'DUKE', 'HOWARD', 'RICE']
BEST DIRECTOR OSCAR WINNERS - ['BONG', 'FORD', 'LEE', 'STONE']"
"JON, KIM, PUNK, AMY, OPERA, JAZZ, MEG, CHROME, JO, BABY, WAYNE, SAFARI, BETH, POP, EDGE, RAP","[['JAZZ', 'POP', 'PUNK', 'RAP'], ['CHROME', 'EDGE', 'OPERA', 'SAFARI'], ['AMY', 'BETH', 'JO', 'MEG'], ['BABY', 'JON', 'KIM', 'WAYNE']]","MUSIC GENRES - ['JAZZ', 'POP', 'PUNK', 'RAP']
WEB BROWSERS - ['CHROME', 'EDGE', 'OPERA', 'SAFARI']
“LITTLE WOMEN” SISTERS - ['AMY', 'BETH', 'JO', 'MEG']
LIL ___ RAPPERS - ['BABY', 'JON', 'KIM', 'WAYNE']"
"BOXER, SLOW, MUZZLE, DALMATIAN, HUSKY, WAVE, SNOUT, DETOUR, TRUNK, YIELD, ASLEEP, BARRIER, POODLE, BEAK, STOP, BITE","[['BOXER', 'DALMATIAN', 'HUSKY', 'POODLE'], ['BEAK', 'MUZZLE', 'SNOUT', 'TRUNK'], ['DETOUR', 'SLOW', 'STOP', 'YIELD'], ['ASLEEP', 'BARRIER', 'BITE', 'WAVE']]","DOG BREEDS - ['BOXER', 'DALMATIAN', 'HUSKY', 'POODLE']
ANIMAL NOSES - ['BEAK', 'MUZZLE', 'SNOUT', 'TRUNK']
TRAFFIC SIGNS - ['DETOUR', 'SLOW', 'STOP', 'YIELD']
SOUND ___ - ['ASLEEP', 'BARRIER', 'BITE', 'WAVE']"
"WIRED, ROLLING STONE, VOGUE, WEBSITE, BEATLE, BYRD, MACARENA, CHAIN, MONKEE, FORTUNE, DOUGIE, BEACH BOY, MASHED POTATO, GOLF COURSE, TWIST, SAUSAGE","[['BEACH BOY', 'BEATLE', 'BYRD', 'MONKEE'], ['DOUGIE', 'MACARENA', 'MASHED POTATO', 'TWIST'], ['FORTUNE', 'ROLLING STONE', 'VOGUE', 'WIRED'], ['CHAIN', 'GOLF COURSE', 'SAUSAGE', 'WEBSITE']]","60’s BAND MEMBERS - ['BEACH BOY', 'BEATLE', 'BYRD', 'MONKEE']
DANCE FADS - ['DOUGIE', 'MACARENA', 'MASHED POTATO', 'TWIST']
MAGAZINES - ['FORTUNE', 'ROLLING STONE', 'VOGUE', 'WIRED']
THINGS WITH LINKS - ['CHAIN', 'GOLF COURSE', 'SAUSAGE', 'WEBSITE']"
"CRUNCH, MILKY WAY, ANVIL, HAMMER, SWITCH, DREAMCAST, SUM, STIRRUP, U, GENESIS, HEATH, BLINK, BOUNTY, COCHLEA, WII, MAROON","[['BOUNTY', 'CRUNCH', 'HEATH', 'MILKY WAY'], ['DREAMCAST', 'GENESIS', 'SWITCH', 'WII'], ['ANVIL', 'COCHLEA', 'HAMMER', 'STIRRUP'], ['BLINK', 'MAROON', 'SUM', 'U']]","CANDY BARS - ['BOUNTY', 'CRUNCH', 'HEATH', 'MILKY WAY']
VIDEO GAME CONSOLES - ['DREAMCAST', 'GENESIS', 'SWITCH', 'WII']
EAR PARTS - ['ANVIL', 'COCHLEA', 'HAMMER', 'STIRRUP']
BAND NAMES MINUS NUMBERS - ['BLINK', 'MAROON', 'SUM', 'U']"
"HANDLEBAR, ELEPHANT, HORSESHOE, HECK, CHEESECAKE, SHOOT, NARWHAL, DARN, TIRAMISU, MOUSSE, PENCIL, HIPPO, WALRUS, WARTHOG, FUDGE, FLAN","[['CHEESECAKE', 'FLAN', 'MOUSSE', 'TIRAMISU'], ['DARN', 'FUDGE', 'HECK', 'SHOOT'], ['ELEPHANT', 'HIPPO', 'NARWHAL', 'WARTHOG'], ['HANDLEBAR', 'HORSESHOE', 'PENCIL', 'WALRUS']]","DESSERTS - ['CHEESECAKE', 'FLAN', 'MOUSSE', 'TIRAMISU']
MILD OATHS - ['DARN', 'FUDGE', 'HECK', 'SHOOT']
ANIMALS WITH TUSKS - ['ELEPHANT', 'HIPPO', 'NARWHAL', 'WARTHOG']
MUSTACHES - ['HANDLEBAR', 'HORSESHOE', 'PENCIL', 'WALRUS']"
"GREECE, WAITS, LIVID, MILD, PETTY, PARROT, CRUISE, DILL, DENMARK, PORTUGAL, MIMIC, ECHO, POLAND, HOLLAND, COPY, MIX","[['DENMARK', 'GREECE', 'POLAND', 'PORTUGAL'], ['COPY', 'ECHO', 'MIMIC', 'PARROT'], ['CRUISE', 'HOLLAND', 'PETTY', 'WAITS'], ['DILL', 'LIVID', 'MILD', 'MIX']]","EUROPEAN COUNTRIES - ['DENMARK', 'GREECE', 'POLAND', 'PORTUGAL']
SYNONYMS FOR IMITATE - ['COPY', 'ECHO', 'MIMIC', 'PARROT']
TOMS - ['CRUISE', 'HOLLAND', 'PETTY', 'WAITS']
WORDS SPELLED WITH ROMAN NUMERALS - ['DILL', 'LIVID', 'MILD', 'MIX']"
"LUNG, PAGE, ASS, FEZ, COVER, BERET, BOWLER, KIDNEY, RABBIT, POT, FEDORA, SPINE, HEART, KNIFE, JACKET, LIVER","[['BERET', 'BOWLER', 'FEDORA', 'FEZ'], ['HEART', 'KIDNEY', 'LIVER', 'LUNG'], ['COVER', 'JACKET', 'PAGE', 'SPINE'], ['ASS', 'KNIFE', 'POT', 'RABBIT']]","HATS - ['BERET', 'BOWLER', 'FEDORA', 'FEZ']
ORGANS - ['HEART', 'KIDNEY', 'LIVER', 'LUNG']
PARTS OF A BOOK - ['COVER', 'JACKET', 'PAGE', 'SPINE']
JACK ___ - ['ASS', 'KNIFE', 'POT', 'RABBIT']"
"GIF, PDF, GRUMPY, HAPPY, MANGO, TIFF, COCONUT, PENGUIN, EMU, KIWI, BASHFUL, ZIP, DOC, BANANA, PINEAPPLE, OSTRICH","[['BASHFUL', 'DOC', 'GRUMPY', 'HAPPY'], ['GIF', 'PDF', 'TIFF', 'ZIP'], ['EMU', 'KIWI', 'OSTRICH', 'PENGUIN'], ['BANANA', 'COCONUT', 'MANGO', 'PINEAPPLE']]","SEVEN DWARFS - ['BASHFUL', 'DOC', 'GRUMPY', 'HAPPY']
FILE EXTENSIONS - ['GIF', 'PDF', 'TIFF', 'ZIP']
FLIGHTLESS BIRDS - ['EMU', 'KIWI', 'OSTRICH', 'PENGUIN']
TROPICAL FRUITS - ['BANANA', 'COCONUT', 'MANGO', 'PINEAPPLE']"
"DIVIDE, COOL, COPY, FLY, ADD, TANG, SUBTRACT, MULTIPLY, TETRA, SOLE, MOTH, LAP, SKATE, WASP, ALLEY, GNAT","[['FLY', 'GNAT', 'MOTH', 'WASP'], ['ADD', 'DIVIDE', 'MULTIPLY', 'SUBTRACT'], ['TANG', 'TETRA', 'SKATE', 'SOLE'], ['ALLEY', 'COOL', 'COPY', 'LAP']]","WINGED INSECTS - ['FLY', 'GNAT', 'MOTH', 'WASP']
ARITHMETIC OPERATIONS - ['ADD', 'DIVIDE', 'MULTIPLY', 'SUBTRACT']
FISH - ['TANG', 'TETRA', 'SKATE', 'SOLE']
___ CAT - ['ALLEY', 'COOL', 'COPY', 'LAP']"
"HIP, SPIRAL, OKLAHOMA, KNEE, COWBOY, PACKER, SHOULDER, RAVEN, SHELL, BRONCO, ELBOW, AIRPLANE, BOWTIE, MOTHER, WRIST, THEM","[['BRONCO', 'COWBOY', 'PACKER', 'RAVEN'], ['BOWTIE', 'ELBOW', 'SHELL', 'SPIRAL'], ['HIP', 'KNEE', 'SHOULDER', 'WRIST'], ['AIRPLANE', 'MOTHER', 'OKLAHOMA', 'THEM']]","NFL PLAYERS - ['BRONCO', 'COWBOY', 'PACKER', 'RAVEN']
PASTA SHAPES - ['BOWTIE', 'ELBOW', 'SHELL', 'SPIRAL']
JOINTS - ['HIP', 'KNEE', 'SHOULDER', 'WRIST']
MOVIES WITH “!” - ['AIRPLANE', 'MOTHER', 'OKLAHOMA', 'THEM']"
"CUCUMBER, LIMA, MAC, PAD, POD, SPHERE, PEPPER, POLISH, PHONE, CONE, MOBILE, CUBE, TOMATO, EGGPLANT, JOB, PYRAMID","[['CUCUMBER', 'EGGPLANT', 'PEPPER', 'TOMATO'], ['CONE', 'CUBE', 'PYRAMID', 'SPHERE'], ['MAC', 'PAD', 'PHONE', 'POD'], ['JOB', 'LIMA', 'MOBILE', 'POLISH']]","VEGETABLES THAT ARE ALSO FRUITS - ['CUCUMBER', 'EGGPLANT', 'PEPPER', 'TOMATO']
3-D SHAPES - ['CONE', 'CUBE', 'PYRAMID', 'SPHERE']
WORDS WITH “i” - ['MAC', 'PAD', 'PHONE', 'POD']
WORDS WITH TWO PRONUNCIATIONS - ['JOB', 'LIMA', 'MOBILE', 'POLISH']"
"CEMENT, TROUBLE, SOUL, BOND, HEEL, LACE, TONGUE, CLUE, RISK, HUNT, SOLE, SMART, SORRY, DUCKIE, RYAN, BAND","[['HEEL', 'LACE', 'SOLE', 'TONGUE'], ['CLUE', 'RISK', 'SORRY', 'TROUBLE'], ['BOND', 'HUNT', 'RYAN', 'SMART'], ['BAND', 'CEMENT', 'DUCKIE', 'SOUL']]","SHOE PARTS - ['HEEL', 'LACE', 'SOLE', 'TONGUE']
BOARD GAMES - ['CLUE', 'RISK', 'SORRY', 'TROUBLE']
FICTIONAL SPIES - ['BOND', 'HUNT', 'RYAN', 'SMART']
RUBBER ___ - ['BAND', 'CEMENT', 'DUCKIE', 'SOUL']"
"MELT, CUBAN, YACHT, SHANK, CLUB, CHUCK, TUG, ROB, ROUND, LOIN, JOSH, FLANK, SUE, FERRY, JUNK, SUB","[['FERRY', 'JUNK', 'TUG', 'YACHT'], ['CLUB', 'CUBAN', 'MELT', 'SUB'], ['FLANK', 'LOIN', 'ROUND', 'SHANK'], ['CHUCK', 'JOSH', 'ROB', 'SUE']]","BOATS - ['FERRY', 'JUNK', 'TUG', 'YACHT']
SANDWICHES - ['CLUB', 'CUBAN', 'MELT', 'SUB']
CUTS OF BEEF - ['FLANK', 'LOIN', 'ROUND', 'SHANK']
NICKNAMES THAT ARE VERBS - ['CHUCK', 'JOSH', 'ROB', 'SUE']"
"FRAGRANCE, BUCK, FUNK, BULL, SOUL, SCENT, BLUES, SCISSORS, AROMA, ROCK, BOUQUET, COUNTRY, JACK, SHOOT, PAPER, BOAR","[['AROMA', 'BOUQUET', 'FRAGRANCE', 'SCENT'], ['BLUES', 'COUNTRY', 'FUNK', 'SOUL'], ['PAPER', 'ROCK', 'SCISSORS', 'SHOOT'], ['BOAR', 'BUCK', 'BULL', 'JACK']]","PLEASANT SMELLS - ['AROMA', 'BOUQUET', 'FRAGRANCE', 'SCENT']
MUSIC GENRES - ['BLUES', 'COUNTRY', 'FUNK', 'SOUL']
ROCK PAPER SCISSORS - ['PAPER', 'ROCK', 'SCISSORS', 'SHOOT']
MALE ANIMALS - ['BOAR', 'BUCK', 'BULL', 'JACK']"
"TIN, CLOVER, DIME, PENNY, RAINBOW, HORSESHOE, QUARTER, LEAD, NECK, NICKEL, IRON, MOON, ZINC, SO, HALF, AGAIN","[['DIME', 'NICKEL', 'PENNY', 'QUARTER'], ['IRON', 'LEAD', 'TIN', 'ZINC'], ['CLOVER', 'HORSESHOE', 'MOON', 'RAINBOW'], ['AGAIN', 'HALF', 'NECK', 'SO']]","U.S. COINS - ['DIME', 'NICKEL', 'PENNY', 'QUARTER']
METAL ELEMENTS - ['IRON', 'LEAD', 'TIN', 'ZINC']
LUCKY CHARMS MARSHMALLOWS - ['CLOVER', 'HORSESHOE', 'MOON', 'RAINBOW']
___ AND ___ - ['AGAIN', 'HALF', 'NECK', 'SO']"
"STACKS, KOALA, MARS, MOUNDS, GUN, MOLE RAT, CHEDDAR, DOUGH, TRUTH, CHUNKY, EYE, WOMBAT, KANGAROO, CRUNCH, WALLABY, PAPER","[['KANGAROO', 'KOALA', 'WALLABY', 'WOMBAT'], ['CHUNKY', 'CRUNCH', 'MARS', 'MOUNDS'], ['CHEDDAR', 'DOUGH', 'PAPER', 'STACKS'], ['EYE', 'GUN', 'MOLE RAT', 'TRUTH']]","MARSUPIALS - ['KANGAROO', 'KOALA', 'WALLABY', 'WOMBAT']
CHOCOLATE BARS - ['CHUNKY', 'CRUNCH', 'MARS', 'MOUNDS']
SLANG FOR MONEY - ['CHEDDAR', 'DOUGH', 'PAPER', 'STACKS']
NAKED ___ - ['EYE', 'GUN', 'MOLE RAT', 'TRUTH']"
